Verosimilitud_L1,logVerosimilitud_L1,Verosimilitud_L2,logVerosimilitud_L2,TRUE PED,logLikelihod(H1:PP-PadreVerdadero),logLikelihod(H2:PP-SinRelacion)
0.015482880000000001,-4.168020381613434,0.004335206400000001,-5.440986057426321,H1:PP-PadreVerdadero,-4.168019999999999,-5.44099
0.0077414400000000005,-4.861167562173379,0.0037158912000000007,-5.595136737253579,H2:PP-SinRelacion,-4.8611699999999995,-5.59514
0.01327104,-4.3221710614406925,0.0127401984,-4.362993055960947,H1:PP-PadreVerdadero,-4.32217,-4.36299
0.0,-inf,0.0037158912000000007,-5.595136737253579,H2:PP-SinRelacion,,-5.59514
0.02654208,-3.629023880880747,0.019110297599999996,-3.957527947852783,H1:PP-PadreVerdadero,-3.6290199999999997,-3.95753
0.0006451200000000001,-7.34607421196138,0.0006193152000000001,-7.386896206481635,H2:PP-SinRelacion,-7.34607,-7.3869
0.0022118399999999996,-6.113930530668748,0.00017694719999999996,-8.639659174977004,H1:PP-PadreVerdadero,-6.11393,-8.639660000000001
0.0,-inf,0.0004515840000000001,-7.702749155900112,H2:PP-SinRelacion,,-7.70275
0.0016128000000000002,-6.429783480087225,0.0007741440000000002,-7.163752655167425,H1:PP-PadreVerdadero,-6.42978,-7.16375
0.0,-inf,0.005308415999999999,-5.238461793314848,H2:PP-SinRelacion,,-5.23846
0.0009408000000000001,-6.968779980819911,0.00026342400000000006,-8.2417456566328,H1:PP-PadreVerdadero,-6.968780000000001,-8.24175
0.0038707200000000002,-5.554314742733324,0.0018579456000000004,-6.288283917813525,H2:PP-SinRelacion,-5.55431,-6.28828
0.00018816000000000004,-8.578217893254012,2.6342400000000007e-05,-10.544330749626845,H1:PP-PadreVerdadero,-8.57822,-10.5443
0.011059199999999998,-4.504492618234647,0.006414336,-5.049219793676319,H2:PP-SinRelacion,-4.5044900000000005,-5.04922
0.0027647999999999995,-5.890786979354538,0.0005529599999999999,-7.500224891788638,H1:PP-PadreVerdadero,-5.89079,-7.50022
0.0,-inf,0.0021233663999999995,-6.154752525189003,H2:PP-SinRelacion,,-6.15475
0.05308416,-2.9358767003208017,0.0254803968,-3.6698458754010024,H1:PP-PadreVerdadero,-2.93588,-3.66985
0.011059199999999998,-4.504492618234647,0.010616832,-4.545314612754902,H2:PP-SinRelacion,-4.5044900000000005,-4.54531
0.02654208,-3.629023880880747,0.0127401984,-4.362993055960947,H1:PP-PadreVerdadero,-3.6290199999999997,-4.36299
0.0038707200000000002,-5.554314742733324,0.0037158912000000007,-5.595136737253579,H2:PP-SinRelacion,-5.55431,-5.59514
0.0077414400000000005,-4.861167562173379,0.0037158912000000003,-5.59513673725358,H1:PP-PadreVerdadero,-4.8611699999999995,-5.59514
0.0077414400000000005,-4.861167562173379,0.0037158912000000003,-5.59513673725358,H2:PP-SinRelacion,-4.8611699999999995,-5.59514
0.00451584,-5.400164062906066,0.0012644352000000005,-6.673129738718954,H1:PP-PadreVerdadero,-5.40016,-6.6731300000000005
0.02654208,-3.629023880880747,0.0127401984,-4.362993055960947,H2:PP-SinRelacion,-3.6290199999999997,-4.36299
0.0016128000000000002,-6.429783480087225,0.00032256000000000006,-8.039221392521325,H1:PP-PadreVerdadero,-6.42978,-8.03922
0.005529599999999999,-5.197639798794593,0.0026542079999999995,-5.931608973874793,H2:PP-SinRelacion,-5.19764,-5.93161
0.0011059199999999998,-6.807077711228692,0.0006193151999999999,-7.386896206481635,H1:PP-PadreVerdadero,-6.80708,-7.3869
0.0009408000000000002,-6.968779980819911,0.0009031680000000003,-7.009601975340167,H2:PP-SinRelacion,-6.968780000000001,-7.0096
0.0016128000000000002,-6.429783480087225,0.00045158400000000015,-7.702749155900111,H1:PP-PadreVerdadero,-6.42978,-7.70275
0.0,-inf,0.0074317824000000015,-4.901989556693635,H2:PP-SinRelacion,,-4.9019900000000005
0.011059199999999998,-4.504492618234647,0.0022118399999999996,-6.113930530668748,H1:PP-PadreVerdadero,-4.5044900000000005,-6.11393
0.0,-inf,0.00018063360000000002,-8.619039887774267,H2:PP-SinRelacion,,-8.61904
0.0007372799999999999,-7.212542819336857,0.00038338559999999996,-7.866469286743521,H1:PP-PadreVerdadero,-7.21254,-7.86647
0.0022579200000000005,-6.093311243466012,0.0010838016000000001,-6.827280418546212,H2:PP-SinRelacion,-6.09331,-6.82728
0.0027647999999999995,-5.890786979354538,0.0006635519999999999,-7.317903334994684,H1:PP-PadreVerdadero,-5.89079,-7.3179
0.05308416,-2.9358767003208017,0.0254803968,-3.6698458754010024,H2:PP-SinRelacion,-2.93588,-3.66985
0.00903168,-4.707016882346121,0.005599641600000002,-5.18505268328912,H1:PP-PadreVerdadero,-4.70702,-5.18505
0.0,-inf,0.00110592,-6.807077711228692,H2:PP-SinRelacion,,-6.80708
0.000576,-7.459402897268383,5.7600000000000004e-05,-9.761987990262428,H1:PP-PadreVerdadero,-7.4594,-9.761989999999999
0.0,-inf,0.005308415999999999,-5.238461793314848,H2:PP-SinRelacion,,-5.23846
0.0013171200000000004,-6.632307744198698,0.00036879360000000017,-7.905273420011586,H1:PP-PadreVerdadero,-6.63231,-7.90527
