Verosimilitud_L1,logVerosimilitud_L1,Verosimilitud_L2,logVerosimilitud_L2,TRUE PED,logLikelihod(H1:PP-PadreVerdadero),logLikelihod(H2:PP-SinRelacion)
0.004468548147840002,-5.4106917222562645,0.001260779834425639,-6.676024833257574,H1:PP-PadreVerdadero,-5.41069,-6.67465
0.026217914941439997,-3.6413123254928106,0.01248024109273138,-4.383608597899617,H2:PP-SinRelacion,-3.64131,-4.3733699999999995
0.0015959298096000006,-6.44029875986899,0.00032755504441834925,-8.02385444245207,H1:PP-PadreVerdadero,-6.4403,-8.02745
0.0054620994816,-5.209922042694801,0.002604641091555097,-5.950460390023177,H2:PP-SinRelacion,-5.209919999999999,-5.940230000000001
0.0010981887206400003,-6.814093073942598,0.0006143205577454021,-7.39499368503544,H1:PP-PadreVerdadero,-6.814089999999999,-7.38842
0.0009342230436000004,-6.975795343533816,0.0004512130878704105,-7.703570851396126,H2:PP-SinRelacion,-6.9758,-7.7022
0.0015959298096000006,-6.44029875986899,0.0004573322490684834,-7.6901004091908725,H1:PP-PadreVerdadero,-6.4403,-7.69238
0.00018449399808,-8.597893625744534,0.007375920828126933,-4.909534526499262,H2:PP-SinRelacion,-8.59789,-4.8993
0.010943383219200003,-4.515020277584845,0.002242105101724284,-6.100340076874161,H1:PP-PadreVerdadero,-4.51502,-6.10393
6.551025600000003e-07,-14.23847403341588,0.00018452580195244542,-8.597721256280776,H2:PP-SinRelacion,-14.2385,-8.63066
0.0007295588812800001,-7.223070478687055,0.00039191318901761756,-7.844470199286653,H1:PP-PadreVerdadero,-7.22307,-7.87375
0.0022303572883200008,-6.10559348736622,0.001068704396806667,-6.84130820827826,H2:PP-SinRelacion,-6.10559,-6.83473
0.0027310497408,-5.903069223254747,0.0006617924495831833,-7.320558571452114,H1:PP-PadreVerdadero,-5.90307,-7.317639999999999
0.052343582883839994,-2.949925930194731,0.024916570806900743,-3.6922222026015374,H2:PP-SinRelacion,-2.9499299999999997,-3.6819900000000003
0.008937096295680003,-4.717544541696319,0.005545322868974393,-5.194800432828155,H1:PP-PadreVerdadero,-4.7175400000000005,-5.19343
1.9251993600000002e-05,-10.85789593895646,0.0010984402333344488,-6.81386407514415,H2:PP-SinRelacion,-10.8579,-6.80363
0.0005679659880000001,-7.473449021317708,5.895720482837627e-05,-9.738698719138187,H1:PP-PadreVerdadero,-7.47345,-9.75612
0.00018449399808,-8.597893625744534,0.005307148903734481,-5.2387005175434735,H2:PP-SinRelacion,-8.59789,-5.22847
0.0013010336841600008,-6.644596188810762,0.0003670805323403124,-7.909929299812071,H1:PP-PadreVerdadero,-6.6446,-7.9085600000000005
1.1230329600000002e-05,-11.396892439689147,0.0007666849674880429,-7.173434574363464,H2:PP-SinRelacion,-11.3969,-7.1632
0.003843660522240001,-5.5613301054472295,0.003659860256005239,-5.6103303137171245,H1:PP-PadreVerdadero,-5.56133,-5.60375
0.00764693927424,-4.873449806073588,0.0036464975281771373,-5.613988153401964,H2:PP-SinRelacion,-4.87345,-5.60375
0.007687321044480002,-4.868182924887284,0.002187179792624119,-6.125142330961866,H1:PP-PadreVerdadero,-4.868180000000001,-6.1237699999999995
0.0031862246976000004,-5.7489185434274885,0.001518266283276914,-6.490186198214025,H2:PP-SinRelacion,-5.74892,-6.47995
0.01532073650688,-4.178548040963632,0.009422412154701017,-4.664664155795493,H1:PP-PadreVerdadero,-4.17855,-4.6544300000000005
0.013085936363519998,-4.3362171854900184,0.0062346517384084576,-5.077632557318965,H2:PP-SinRelacion,-4.33622,-5.0674
0.0010924198963200003,-6.819359955128902,9.45865286484336e-05,-9.265995495340267,H1:PP-PadreVerdadero,-6.8193600000000005,-9.29528
0.0015959298096000006,-6.44029875986899,0.001523385328995759,-6.486820230506672,H2:PP-SinRelacion,-6.4403,-6.48024
0.010943383219200003,-4.515020277584845,0.002242105101724284,-6.100340076874161,H1:PP-PadreVerdadero,-4.51502,-6.10393
2.7047623680000006e-05,-10.517911405698955,0.0006497191895655385,-7.338970304473429,H2:PP-SinRelacion,-10.5179,-7.3376
0.006554478735359999,-5.027606686612701,0.0015772434294873702,-6.452076620524936,H1:PP-PadreVerdadero,-5.02761,-6.44916
3.863946240000001e-06,-12.463821554754269,0.00022000527890652733,-8.421859016870119,H2:PP-SinRelacion,-12.4638,-8.41162
0.00022878931680000002,-8.382708991856443,2.0011967440884e-05,-10.819180091319252,H1:PP-PadreVerdadero,-8.382710000000001,-10.8521
0.052343582883839994,-2.949925930194731,0.024916570806900743,-3.6922222026015374,H2:PP-SinRelacion,-2.9499299999999997,-3.6819900000000003
0.004468548147840002,-5.4106917222562645,0.001260779834425639,-6.676024833257574,H1:PP-PadreVerdadero,-5.41069,-6.67465
8.076354048000001e-05,-9.423984925956043,0.0031233885444342507,-5.768836794576136,H2:PP-SinRelacion,-9.42398,-5.76746
0.013085936363519998,-4.3362171854900184,0.0062346517384084576,-5.077632557318965,H1:PP-PadreVerdadero,-4.33622,-5.0674
0.015293783715840004,-4.180308826225497,0.014664018899129843,-4.2223584796342,H2:PP-SinRelacion,-4.1803099999999995,-4.22098
0.02621791494144,-3.6413123254928106,0.025007878521092087,-3.6885643629166984,H1:PP-PadreVerdadero,-3.64131,-3.6819900000000003
4.829932800000001e-06,-12.240678003440058,0.00038633065131540075,-7.8588169455546915,H2:PP-SinRelacion,-12.2407,-7.8559
0.0009309590556000004,-6.979295260601678,0.00019436060407016154,-8.545795340435099,H1:PP-PadreVerdadero,-6.9793,-8.55825
0.02626411972608,-3.6395515402309453,0.012593832711390411,-4.374548052202918,H2:PP-SinRelacion,-3.63955,-4.36797
0.026217914941439997,-3.6413123254928106,0.01248024109273138,-4.383608597899617,H1:PP-PadreVerdadero,-3.64131,-4.3733699999999995
0.00013845178368,-8.884988425223357,0.005326597151209165,-5.235042677858634,H2:PP-SinRelacion,-8.88499,-5.22847
0.026264119726079997,-3.6395515402309453,0.01874322879637095,-3.9769227226493857,H1:PP-PadreVerdadero,-3.63955,-3.9666900000000003
0.01313205986304,-4.332698720790891,0.006285938658474389,-5.069440099089884,H2:PP-SinRelacion,-4.3327,-5.06286
0.02626411972608,-3.6395515402309453,0.012593832711390411,-4.374548052202918,H1:PP-PadreVerdadero,-3.63955,-4.36797
0.02621791494144,-3.6413123254928106,0.025007878521092087,-3.6885643629166984,H2:PP-SinRelacion,-3.64131,-3.6819900000000003
0.00218867664384,-6.124458190018945,0.0020876625678798552,-6.1717102274428335,H1:PP-PadreVerdadero,-6.12446,-6.16513
0.0044528533459200015,-5.414210186955391,0.0021207380580061646,-6.155991110316137,H2:PP-SinRelacion,-5.41421,-6.14576
0.052343582883839994,-2.949925930194731,0.024916570806900743,-3.6922222026015374,H1:PP-PadreVerdadero,-2.9499299999999997,-3.6819900000000003
3.2755128000000013e-06,-12.629036120981779,0.0009050429873523312,-7.0075281155555995,H2:PP-SinRelacion,-12.629000000000001,-7.01998
0.00382346963712,-5.566596986633534,0.0009219568838491324,-6.9890120992222515,H1:PP-PadreVerdadero,-5.5666,-6.986089999999999
0.052343582883839994,-2.949925930194731,0.024916570806900743,-3.6922222026015374,H2:PP-SinRelacion,-2.9499299999999997,-3.6819900000000003
0.013085936363519998,-4.3362171854900184,0.0062346517384084576,-5.077632557318965,H1:PP-PadreVerdadero,-4.33622,-5.0674
0.0038234696371200003,-5.566596986633534,0.0036692469292842586,-5.607768834351627,H2:PP-SinRelacion,-5.5666,-5.60639
5.615164800000001e-06,-12.090039620249092,1.606353984081001e-06,-13.34154355322719,H1:PP-PadreVerdadero,-12.09,-13.354000000000001
0.007687321044480002,-4.868182924887284,0.009456940939688402,-4.6610063161106545,H2:PP-SinRelacion,-4.868180000000001,-4.6544300000000005
0.01529378371584,-4.180308826225498,0.007280140637426639,-4.922605098632304,H1:PP-PadreVerdadero,-4.1803099999999995,-4.91237
0.013085936363519998,-4.3362171854900184,0.0062346517384084576,-5.077632557318965,H2:PP-SinRelacion,-4.33622,-5.0674
0.00437735328768,-5.431311009459,0.0003821389513551936,-7.869726268494477,H1:PP-PadreVerdadero,-5.43131,-7.8990100000000005
8.076354048000001e-05,-9.423984925956043,0.0015634312974960678,-6.460872323511802,H2:PP-SinRelacion,-9.42398,-6.45064
0.0012744898790400005,-6.665209275301643,0.00011244911766137284,-9.093009726087084,H1:PP-PadreVerdadero,-6.665210000000001,-9.13115
0.02626411972608,-3.6395515402309453,0.018811914065753523,-3.9732648829645467,H2:PP-SinRelacion,-3.63955,-3.9666900000000003
0.007687321044480002,-4.868182924887284,0.009456940939688404,-4.6610063161106545,H1:PP-PadreVerdadero,-4.868180000000001,-4.6544300000000005
0.026264119726079997,-3.6395515402309453,0.01874322879637095,-3.9769227226493857,H2:PP-SinRelacion,-3.63955,-3.9666900000000003
0.0076603682534400015,-4.871695221523577,0.0073449309163692925,-4.913744874932279,H1:PP-PadreVerdadero,-4.8717,-4.91237
0.0015959298096000006,-6.44029875986899,0.0015313312153351904,-6.481617846491487,H2:PP-SinRelacion,-6.4403,-6.48024
0.00437735328768,-5.431311009459,0.0003821389513551936,-7.869726268494477,H1:PP-PadreVerdadero,-5.43131,-7.8990100000000005
